signal,horizon_bars,observed_mean_bp,placebo_p,n_shifts_valid,mean_admitted_fraction
H1,1,0.24841778631678635,0.2811,10000,0.9663957908440011
H1,3,0.4771649274514408,0.2199,10000,0.9663957908440011
H1,6,1.5433953365254658,0.0047,10000,0.9663957908440011
H1,12,2.120655060546072,0.0058,10000,0.9663957908440011
H1,48,2.3274441005533535,0.085,10000,0.9663957908440011
H2,1,-0.4835195492124628,0.3816,10000,0.9667888888888889
H2,3,1.0736444569158572,0.2443,10000,0.9667888888888889
H2,6,1.4497780446594093,0.2637,10000,0.9667888888888889
H2,12,0.8799862703502018,0.6295,10000,0.9667888888888889
H2,48,-3.68339883255403,0.3589,10000,0.9667888888888889
H3,1,2.654213372433441,0.1642,10000,0.9661354838709678
H3,3,-2.4787071415194535,0.44,10000,0.9661354838709678
H3,6,1.4102058126100434,0.7603,10000,0.9661354838709678
H3,12,-7.665604152953019,0.2455,10000,0.9661354838709678
H3,48,16.00332647998562,0.2367,10000,0.9661354838709678
H6,1,0.6493338353177631,0.4722,10000,0.966184965034965
H6,3,-2.455790591798363,0.1135,10000,0.966184965034965
H6,6,-5.405197122055641,0.0168,10000,0.966184965034965
H6,12,-6.554085092966495,0.0371,10000,0.966184965034965
H6,48,-6.174597982234811,0.3187,10000,0.966184965034965
